fullName,born,flourished start,flourished end,died,uncertain,,,,
Lucius Neratius Priscus,,,,,,0,0,VALID,VALID
Imperator Nero,,,,,,0,0,VALID,VALID
Publius Nigidius Figulus,,,,,,0,0,VALID,VALID
Ninnius Crassus,,,,,,0,0,VALID,VALID
"Novius, comoed.",,,,,,0,0,VALID,VALID
Lucius Novius,,,,,,0,0,VALID,VALID
Numitorius,,,,,,0,0,VALID,VALID
Gaius Oppius,,,,,,0,0,VALID,VALID
Lucius Orbilius Pupillus,,,,,,0,0,VALID,VALID
Sextus Paconianus,,,,,,0,0,VALID,VALID
Quintus Remmius Palaemon,,,,,,0,0,VALID,VALID
"Papinius, epigram.",,,,,,0,0,VALID,VALID
Parthenius Presbyter,,,,,,0,0,VALID,VALID
Passienus Crispus,,,,,,0,0,VALID,VALID
L. Aemilius L.f.M.n. Paulus,,,,,,0,0,VALID,VALID
Paulus Quaestor,,,,,,0,0,VALID,VALID
Albinovanus Pedo,,,,,,0,0,VALID,VALID
Lucius Marcius Philippus,,,,,,0,0,VALID,VALID
Philumenus medicus,,,,,,0,0,VALID,VALID
Gaius Asinius Pollio,,,,,,0,0,VALID,VALID
Q. Pompeius Q.f.A.n. Rufus,,,,,,0,0,VALID,VALID
Q. Pompeius Q.f.Q.n. Rufus,,,,,,0,0,VALID,VALID
Pompilius,,,,,,0,0,VALID,VALID
Lucius Pomponius Bononiensis,,,,,,0,0,VALID,VALID
Publius Pomponius Secundus,,,,,,0,0,VALID,VALID
Sextus Pomponius,,,,,,0,0,VALID,VALID
Porcius Licinus,,,,,,0,0,VALID,VALID
Pomponius Porphyrio,,,,,,0,0,VALID,VALID
Aulus Postumius Albinus,,,,,,0,0,VALID,VALID
Precatio Omnium Herbarum,,,,,,0,0,VALID,VALID
Precatio Terrae,,,,,,0,0,VALID,VALID
Priapea,,,,,,0,0,VALID,VALID
Marcus Valerius Probus,,,,,,0,0,VALID,VALID
Publilius Optatianus Porfyrius,,,,,,0,0,VALID,VALID
Pupius (?),,,,,,0,0,VALID,VALID
Quintus Claudius Quadrigarius,,,,,,0,0,VALID,VALID
Lucius Quinctius,,,,,,0,0,VALID,VALID
Rabirius,,,,,,0,0,VALID,VALID
Publius Rutilius Rufus,,,,,,0,0,VALID,VALID
Publius Rutilius Lupus,,,,,,0,0,VALID,VALID
Sabidius,,,,,,0,0,VALID,VALID
