authorName,fullName,gender,religion
Paulinus of Pella,Paulinus of Pella,m,
Paulus ,L. Aemilius L.f.M.n. Paulus ,,
Paulus Diaconus,Paulus Diaconus,m,
Paulus Quaestor ,Paulus Quaestor ,,
Pedo ,Albinovanus Pedo ,,
Persius,Aulus Persius Flaccus ,m,
Persius ,,,
Petrarch,Petrarch,m,
Petronius,Petronius,m,
Phaedrus,Phaedrus,m,
Philippus ,Lucius Marcius Philippus ,,
Philumenus medicus ,Philumenus medicus ,,
Phineas Fletcher,Phineas Fletcher,m,
Piccolomini,Piccolomini,m,
Piso ,Gaius Calpurnius Piso ,,
Piso  Frugi ,Lucius Calpurnius Piso Frugi ,,
Planctus destructionis ,Planctus destructionis ,m,
Plautus,Titus Maccius Plautus ,m,
Plautus ,,,
Pliny the Elder,Gaius Plinius Secundus,m,
Pliny the Younger,C. Plinius Caecilius Secundus ,m,
Poggio Bracciolini,Poggio Bracciolini,m,
Pollio ,Gaius Asinius Pollio ,,
Pompeius Q.f.A.n. Rufus ,Q. Pompeius Q.f.A.n. Rufus ,,
Pompilius ,Pompilius ,,
Pomponius Bononiensis ,Lucius Pomponius Bononiensis ,,
Pomponius Secundus ,Publius Pomponius Secundus ,,
Pontano,Pontano,m,
Porcius Licinus ,Porcius Licinus ,,
Porphyrio ,Pomponius Porphyrio ,,
Priapea,Priapea,m,
Probus ,Marcus Valerius Probus ,,
Propertius,Sextus Propertius ,m,
Prudentius,Prudentius,m,
Pseudoplatonica,Pseudoplatonica,m,
Pseudo-Varro ,Pseudo-Varro ,,
Publilius,Publilius Optatianus Porfyrius ,,
Pupius,Pupius (?) ,,
Quadrigarius ,Quintus Claudius Quadrigarius ,,
Quinctius ,Lucius Quinctius ,,
Quintilian,Marcus Fabius Quintilianus ,m,
Quintus Cicero,Quintus Tullius Cicero ,m,
Quintus Cornificius ,Quintus Cornificius ,,
Quintus Curtius,Quintus Curtius Rufus,m,
Quintus Horatius Flaccus,Horace,m,
Rabirius ,Rabirius ,,
Ricardi de Bury,Ricardi de Bury,m,
Rimbaud,Rimbaud,m,
Ruaeus,Ruaeus,m,
Rutilius ,Publius Rutilius Rufus ,,
Rutilius Lupus ,Publius Rutilius Lupus ,,
Rutilius Namatianus,Rutilius Namatianus,m,
Sabidius ,Sabidius ,,
Sallust,Gaius Sallusius Crispus,m,
Sammonicus,Quintus Serenus (Sammonicus) ,m,
Sannazaro,Sannazaro,m,
Santra ,Santra ,,
Saserna ,Saserna ,,
Saturius ,Publius Saturius ,,
Scaevola ,Publius Mucius Scaevola ,,
Scaevola ,Quintus Mucius Scaevola ,,
Scaevola [pontifex] ,Q. Mucius Scaevola [pontifex] ,,
Scaevus ,Scaevus Memor ,,
Scaliger,Scaliger,m,
Scaurus ,Marcus Aemilius Scaurus ,,
Scaurus ,Quintus Terentius Scaurus ,,
Scipio Aem. Afr. ,P. Cornel. Scipio Aem. Afr. ,,
Scipio Afr. ma. ,P. Cornel. Scipio Afr. ma. ,,
Scipio Nasica Ser. ,P. Cornel. Scipio Nasica Ser. ,,
Scribonius Curio avus ,Gaius Scribonius Curio avus ,,
Sedulius,Sedulius,m,
Seneca the Elder,Lucius Annaeus Seneca senior ,m,
Seneca the Younger,Lucius Annaeus Seneca iunior ,m,
Septem Sapientum,Septem Sapientum,m,
Septimius Serenus ,Septimius Serenus ,,
Servius Clodius ,Servius Clodius ,,
Servius Honoratus ,Maurus Servius Honoratus ,,
Sevius Nicanor ,Sevius Nicanor ,,
Sextilius Ena ,Sextilius Ena ,,
Sextus (vel Spurius) Ennius ,Sextus (vel Spurius) Ennius ,,
Sextus Pompeius Festus,Sextus Pompeius Festus,m,
Sextus Pomponius ,Sextus Pomponius ,,
Siculus,Titus Calpurnius Siculus ,m,
Siculus Flaccus ,Siculus Flaccus ,,
Silanus ,Decimus Iunius Silanus ,,
Silius Italicus,Silius Italicus,m,
Sinnius Capito ,Sinnius Capito ,,
Sisenna,Lucius Cornelius Sisenna ,m,
Staberius Eros ,Staberius Eros ,,
Statius,Publius Papinius Statius ,m,
Statius ,Caecilius Statius ,,
Stephanus de Varda,Stephanus de Varda,m,
Stilo ,L. Aelius Praeconinus Stilo ,,
Strabo ,Gaius Iulius Caesar Strabo ,,
Sueius ,Sueius ,,
Suetonius,Gaius Suetonius Tranquillus ,m,
Sulla ,Lucius Cornelius Sulla ,,
Sulpicia,"Sulpicia, Caleni uxor ",f,
Sulpicius ,Servius Sulpicius Rufus ,,
Sulpitius Severus,Sulpitius Severus,m,
Symmachus ,Q. Aurelius Symmachus ,,
Symmachus ,L. Aurel. Avianius Symmachus ,,
Syrus,Publilius Syrus ,m,
Tacitus,Cornelius Tacitus ,m,
Tarquitius ,Tarquitius Priscus ,,
Terence,Publius Terentius Afer ,m,
Tertullian,Tertullian,m,
Theganus,Theganus,m,
Theodosian Code,Theodosian Code,m,
Theophanes,Theophanes,m,
Thomas à Kempis,Thomas à Kempis,m,
Tibullus,Albius Tibullus ,m,
Tibullus ,,,
Ticidas ,Ticidas ,,
Tiro ,Marcus Tullius Tiro ,,
Titinius ,Titinius ,,
Titius ,Gaius Titius ,,
"Titius, gram. ","Titius, gram. ",,
Trabea ,Trabea ,,
Trajan,Imp. Marcus Ulpius Traianus ,,
Trebatius ,Gaius Trebatius Testa ,,
Tremelius ,Gnaeus Tremelius Scrofa ,,
Trogus,Pompeius Trogus ,u,
Trogus ,,,
Tubero ,Quintus Aelius Tubero ,,
Tullius Laurea ,Tullius Laurea ,,
Turnus ,Turnus ,,
Turpilius ,Sextus Turpilius ,,
Turranius Niger ,Turranius Niger ,,
Vagellius ,Vagellius ,,
Valerius ,Iulius Valerius ,,
Valerius Antias ,Valerius Antias ,,
Valerius Flaccus,Gaius Valerius Flaccus ,m,
Valerius Maximus,Valerius Maximus,m,
Valerius Soranus ,Quintus Valerius Soranus ,,
"Valerius, comoed. ","Valerius, comoed. ",,
Valgius Rufus ,Gaius Valgius Rufus ,,
Varius Rufus ,Lucius Varius Rufus ,,
Varro,Marcus Terentius Varro ,m,
Varro ,Marcus Terentius Varro ,,
Varro Atacinus ,P. Terentius Varro Atacinus ,,
Vegetius,Vegetius,m,
Vegius,Vegius,m,
Velius Longus ,Velius Longus ,,
Velleius Paterculus,Velleius Paterculus,m,
Veranius ,Veranius ,,
Verginius Rufus ,Lucius Verginius Rufus ,,
Verrius Flaccus ,Marcus Verrius Flaccus ,,
Vibius Crispus ,Vibius Crispus ,,
Vico,Vico,m,
Vindex ,Caesellius Vindex ,,
Virgil,Publius Vergilius Maro,m,
Vitruvius,Vitruvius,m,
Volcacius Sedigitus ,Volcacius Sedigitus ,,
Volumnius ,Volumnius ,,
Waardenburg,Waardenburg,m,
Zeno,Zeno of Verona ,,
