PRINCIPAL_PARTS,SHORT_DEFINITION,SIMPLE_LEMMA,PART_OF_SPEECH,Total_Count_in_Text,Location
Lucania –ae f. ,"Luciania, region in S. Italy",Lucania,Noun,1,7.3.1
Lucanus –a –um,"Lucanian, of Lucania",Lucanus,Adjective,1,7.3.1
Campanus (Campaneus) –a –um,of Campania,Campanus,Adjective,1,7.3.1
reviso –ere,to look at again; visit again,reviso,Verb,1,7.3.3
obtundo obtundere obtudi obtu(n)sum,"to blunt, weaken",obtundo,Verb,1,7.3.5
acor –oris m.,"a sour taste, sourness",acor,Noun,1,7.3.5
quattuordecim quartus –a –um decimus –a –um,"14, 14th",quattuordecim,Noun,1,7.4.2
tragoedia –ae f.,tragedy,tragoedia,Noun,5,7.4.2
militia –ae f.,military service,militia,Noun,2,7.4.3
Icaria –ae f.,Icaria (island),Icaria,Noun,1,7.4.3
heroum –i n.,a monument to the memory of a hero,heroum,Noun,1,7.4.3
obrepo obrepere obrepsi obreptus,steal up on,obrepo,Verb,2,7.4.4
oblectatio –onis f.,a delight,oblectatio,Noun,3,7.4.4
desuetudo –inis f.,"disuse, want of practice",desuetudo,Noun,1,7.4.5
exaro –are –avi –atus,plow up; plow,exaro,Verb,1,7.4.5
lascivus –a –um,"playful, wanton",lascivus,Adjective,1,7.4.6
savium (suavium) –i n.,"a love kiss, kiss",savium,Noun,1,7.4.6
dolus doli m.,"artifice, device, trick",dolus,Noun,1,7.4.6
fugax –acis,swift in flight,fugax,Adjective,1,7.4.6
separatim,"apart, separately",separatim,Adverb,4,7.4.8
lyra –ae f.,lyre,lyra,Noun,2,7.4.9
vigil vigilis,"on watch, sleepless",vigil,Adjective,1,7.5.1
requies –etis or –ei f.,repose,requies,Noun,1,7.5.2
miseria miseriae f.,"wretchedness, misery",miseria,Noun,1,7.5.2
concilium concili(i) n.,union; assembly,concilium,Noun,1,7.6.1
Polyaenus –i m. ,Polyaenus (name),Polyaenus,Noun,6,7.6.6
interloquor –loqui –locutus sum,to interrupt in speaking,interloquor,Verb,1,7.6.6
oratorius –a –um,relating to oratory,oratorius,Adjective,1,7.6.7
accuratus –a –um,"carefully wrought, elaborate",accuratus,Adjective,1,7.6.7
veneficium –ii n.,poison,veneficium,Noun,1,7.6.8
Servianus –i m.,Servianus (name),Servianus,Noun,3,7.6.8
Africanus –i m.,Africanus ,Africanus,Adjective,2,7.6.11
Passienus –i m.,Passienus (name),Passienus,Noun,1,7.6.11
deservio –ire –servire,"to serve, be devoted to",deservio,Verb,2,7.7.2
iam diu,this long time,iam,Adverb,2,7.9.1
proprietas –atis f,"a property, quality",proprietas,Noun,1,7.9.2
argumentum –i n.,"proof, evidence, argument",argumentum,Noun,1,7.9.3
antecedo –cedere –cessi –cessum,to go before,antecedo,Verb,2,7.9.4
interscribo –ere –scripsi –scriptus,to write between,interscribo,Verb,1,7.9.5
recalesco –calescere –calui —,to become warm (again),recalesco,Verb,1,7.9.6
intexo –ere –ui –tus,to weave into or in; work in,intexo,Verb,1,7.9.6
bellatorius –a –um,"warlike, martial",bellatorius,Adjective,1,7.9.7
meditatio –onis f.,a thinking over,meditatio,Noun,1,7.9.7
recolo –ere –colui –cultus,to till again; (fig.),recolo,Verb,1,7.9.7
poeticus –a –um,poetic,poeticus,Adjective,3,7.9.8
quantuslibet quantalibet quantumlibet,as much or as many as you could wish,quantuslibet,Pronoun,1,7.9.9
informo informare informavi informatus,to impart form to; mold,informo,Verb,1,7.9.11
Mars Martis m.,Mars,Mars,Noun,1,7.9.11
Venus –eris f.,Venus (goddess),Venus,Noun,2,7.9.11
urbanitas –atis f.,"city life, refinement",urbanitas,Noun,2,7.9.13
demonstratio –onis f.,"a showing, a pointing out",demonstratio,Noun,1,7.9.16
Hermes (Herma) —ae m.,Hermes (name),Hermes,Noun,2,7.11.1
hereditarius –a –um ,"inherited, hereditary",hereditarius,Adjective,1,7.11.1
proscribo –scribere –scripsi –scriptum,"to publish, proscribe",proscribo,Verb,3,7.11.1
auctio –onis f.,"public sale, auction; an increase",auctio,Noun,2,7.11.1
quincunx –uncis m.,five-twelfths,quincunx,Noun,1,7.11.1
addico –ere –dixi –dictus,to pronounce for; to sell,addico,Verb,2,7.11.1
nongenti –ae –a; nongentesimus –a –um,"900, 900th",nongenti,Number,2,7.11.1
secerno secernere secrevi secretum,to separate,secerno,Verb,1,7.11.2
dis–perdo –perdere –perdidi –perditum,to ruin,disperdo,Verb,2,7.12.1
suprascribo –ere –scripsi –scriptus,to write over or above,suprascribo,Verb,1,7.12.3
tumidus –a –um,swollen,tumidus,Adjective,2,7.12.4
quoniam,since,quoniam,Conjunction,4,7.12.4
tenuitas –atis f.,thinness,tenuitas,Noun,1,7.12.5
insequor insequi insecutus sum,"to follow after, pursue",insequor,Verb,2,7.12.5
exagito –are –avi –atum,to stir up,exagito,Verb,1,7.12.5
cursor cursoris m. ,runner,cursor,Noun,1,7.12.6
significo significare significavi significatus,to indicate,significo,Verb,4,7.13.1
aenigma –atis n. ,"a riddle, obscurity",aenigma,Noun,1,7.13.1
publicanus –i m.,a tax–farmer,publicanus,Noun,1,7.14.1
discepto –are,"to decide, determine",discepto,Verb,1,7.15.2
Calestrius –(i)i m.,Calestrius (name),Calestrius,Noun,1,7.16.1
convalesco –valescere –valui —,to regain health,convalesco,Verb,2,7.16.2
Ticinum –i n.,Ticinum (city),Ticinum,Noun,1,7.16.3
vindicta –ae f.,"vengeance, punishment",vindicta,Noun,1,7.16.4
manumitto (manu mitto) manumittere manumisi manumissum,to free a slave,manumitto,Verb,5,7.16.4
chorus –i m.,dance in circle; dance; company of singers or dancers,chorus,Noun,1,7.17.3
probabilis –e,"likely, credible, probable ",probabilis,Adjective,2,7.17.5
pertracto –are,to pass the hand over; examine in detail,pertracto,Verb,2,7.17.7
diffido diffidere diffisus sum,to distrust,diffido,Verb,1,7.17.9
pullatus –a –um,clothed in soiled or black garments,pullatus,Adjective,1,7.17.9
horresco –ere –horrui,to become rough; bristle,horresco,Verb,1,7.17.13
consultatio –onis f.,"consultation, deliberation",consultatio,Noun,3,7.18.1
