PRINCIPAL_PARTS,SHORT_DEFINITION,SIMPLE_LEMMA,PART_OF_SPEECH,Count_in_Selection,Location
Casmilla –ae f.,Casmilla,Casmilla,Noun,1,11.543
abundans abundantis,"overflowing, full",abundans,Adjective,1,11.547
liber libri m.,book,liber,Noun,1,11.554
circumligo circumligare circumligavi circumligatus,to tie or bind round or to,circumligo,Verb,1,11.555
feritas –atis f.,fierceness,feritas,Noun,1,11.568
armentalis –e,of the herd,armentalis,Adjective,1,11.571
immulgeo –ere,to milk into,immulgeo,Verb,1,11.572
labrum –i n.,lip,labrum,Noun,1,11.572
olor –oris m.,swan,olor,Noun,1,11.580
virginitas –atis f.,virginity,virginitas,Noun,3,11.583
inspoliatus –a –um,"not despoiled, upon",inspoliatus,Adjective,1,11.594
numero,precisely,numero,Adverb,1,11.599
iactus –us m.,cast; leap; shot; reach,iactus,Noun,1,11.608
obtexo –ere –texui –textus,to weave over; cover,obtexo,Verb,1,11.611
Tyrrhenus –i m.,Tyrrhenus,Tyrrhenus,Noun,1,11.612
Aconteus –ei m.,Aconteus,Aconteus,Noun,2,11.612
superiacio –ere –ieci –iectus,to throw above or over; overcast,superiacio,Verb,1,11.625
resorbeo –ere,to suck back,resorbeo,Verb,1,11.627
Orsilochus –i m.,Orsilochus,Orsilochus,Noun,3,11.636
impatiens –entis,"impatient (+gen.), unable to tolerate",impatiens,Adjective,1,11.639
crus –uris n.,"shin, leg",crus,Noun,2,11.639
Iollas –ae m.,Iollas,Iollas,Noun,1,11.640
Herminius –ii m.,Herminius,Herminius,Noun,1,11.642
Amazon –onis f.,Amazon,Amazon,Noun,2,11.648
pharetratus –a –um,wearing a quiver,pharetratus,Adjective,1,11.649
indefessus –a –um,unwearied,indefessus,Adjective,1,11.651
Larina –ae f.,Larina,Larina,Noun,1,11.655
Tulla –ae f.,Tulla,Tulla,Noun,1,11.656
Tarpeia –ae f.,Tarpeia,Tarpeia,Noun,1,11.656
Italides –um f.,Italian women or nymphs,Italides,Adjective,1,11.657
ministra –ae f.,"servant, attendant",ministra,Noun,1,11.658
Thermodon –ontis m.,Thermodon,Thermodon,Noun,1,11.659
Hippolyte –es f.,Hippolyte,Hippolyte,Noun,1,11.661
Euneus –i m.,Euneus,Euneus,Noun,1,11.666
Liris –is m.,Liris,Liris,Noun,1,11.670
Pagasus –i m.,Pagasus,Pagasus,Noun,1,11.670
Amastrus –i m.,Amastrus,Amastrus,Noun,1,11.673
Hippotades –ae m.,Hippotades,Hippotades,Noun,1,11.674
Tereus –ei or –eos m.,Tereus (name),Tereus,Noun,1,11.675
Harpalycus –i m.,Harpalycus,Harpalycus,Noun,1,11.675
Demophoon –ontis m.,Demophoon,Demophoon,Noun,1,11.675
Chromis –is m.,Chromis,Chromis,Noun,1,11.675
Orn?tus –i m.,Ornytus,Ornytus,Noun,1,11.677
venator –oris m.,huntsman,venator,Noun,2,11.678
pugnator –oris m.,fighter; adjectively,pugnator,Noun,1,11.680
sparus –i m.,rustic weapon having an iron head with projecting hook or blade,sparus,Noun,1,11.682
muliebris –e,"of or belonging to a woman, female, feminine",muliebris,Adjective,1,11.687
redarguo –ere –ui,to disprove,redarguo,Verb,1,11.688
eludo eludere elusi elusus,to mock,eludo,Verb,2,11.695
