PRINCIPAL_PARTS,SHORT_DEFINITION,SIMPLE_LEMMA,PART_OF_SPEECH,Count_in_Selection,Location
iuvo iuvare iuvi iutus,to help; please,iuvo,Verb,29,1.2.13
usus usus m.,use,usus,Noun,9,1.2.13
aratrum –i n,plough,aratrum,Noun,4,1.2.13
detracto detractare detractavi detractatus,"to decline, refuse",detracto,Verb,1,1.2.14
premo premere pressi pressus,to press,premo,Verb,22,1.2.14
dum,"while, until, provided that",dum,Conjunction,33,1.2.14
iugum iugi n.,"yoke; ridge, chain of hills",iugum,Noun,5,1.2.14
bos bovis m.,ox,bos,Noun,5,1.2.14
asper –a –um,rough,asper,Adjective,2,1.2.15
equus equi m.,horse,equus,Noun,24,1.2.15
contundo contundere contudi contusum,to beat crush bruise destroy,contundo,Verb,1,1.2.15
os oris n.,"mouth, face",os,Noun,36,1.2.15
lupata –orum n.,wolfsbit,lupata,Noun,1,1.2.15
frenum –i n. (freni –orum m.),"bridle, reins",frenum,Noun,3,1.2.16
parum; minus; minime,too little,parum,Adverb,10,1.2.16
quisquis quidquid or quicquid,"whoever, whichever",quisquis,Pronoun,9,1.2.16
ad,"to, up to, towards",ad,Preposition,42,1.2.16
acer acris acre,"sharp, piercing",acer,Adjective,2,1.2.17
invitus –a –um,unwilling,invitus,Adjective,5,1.2.17
multo,"by much, greatly",multo,Adverb,4,1.2.17
ferox ferocis,bold; wild,ferox,Adjective,1,1.2.17
urgeo urgere ursi,to press,urgeo,Verb,3,1.2.17
servitium servirti(i) n.,"servitude, slavery",servitium,Noun,1,1.2.18
fateor fateri fassus sum,"to confess, admit",fateor,Verb,9,1.2.18
en or em,look!,en,Interjection,4,1.2.19
confiteor confiteri confessus sum,to confess,confiteor,Verb,2,1.2.19
praeda praedae f.,"booty, prey",praeda,Noun,9,1.2.19
porrigo porrigere porrexi porrectum,to stretch forth,porrigo,Verb,2,1.2.20
vinco vincere vici victus,to conquer,vinco,Verb,33,1.2.20
manus manus f.,hand; band of men,manus,Noun,65,1.2.20
nihil or nil or nihilo n.,nothing,nihil,Pronoun,16,1.2.21
opus n. (indeclinable),need,opus,Noun,3,1.2.21
venia veniae f.,pardon,venia,Noun,2,1.2.21
pax pacis f.,peace; favor,pax,Noun,8,1.2.21
rogo rogare rogavi rogatus,to ask,rogo,Verb,20,1.2.21
laus laudis f.,"praise, glory",laus,Noun,4,1.2.22
inermis inermis inerme,unarmed,inermis,Adjective,4,1.2.22
necto nectere nexi nexum,"to tie, bind, connect, weave",necto,Verb,7,1.2.23
maternus –a –um,maternal,maternus,Adjective,2,1.2.23
iungo iungere iunxi iunctus,to join,iungo,Verb,12,1.2.23
columba –ae f.,"pigeon, dove",columba,Noun,2,1.2.23
decet decere decuit,"adorn, become, grace; (impers.) it is fitting (to)",decet,Verb,10,1.2.24
currus currus m.,chariot,currus,Noun,4,1.2.24
vitricus –i m.,a step–father,vitricus,Noun,2,1.2.24
ipse ipsa ipsum,"himself, herself, itself (intensive)",ipse,Pronoun,84,1.2.24
populus populi m.,people,populus,Noun,12,1.2.25
clamo clamare clamavi clamatus,"to call, shout",clamo,Verb,6,1.2.25
triumphus triumphi m.,triumph,triumphus,Noun,9,1.2.25
sto stare steti statum,to stand,sto,Verb,13,1.2.26
adiungo adiungere adiunxi adiunctus,"to join to, connect",adiungo,Verb,1,1.2.26
avis avis f.,bird,avis,Noun,14,1.2.26
duco ducere duxi ductus,to lead; consider,duco,Verb,5,1.2.27
capio capere cepi captus,to seize,capio,Verb,25,1.2.27
iuvenis iuvenis m.,youth,iuvenis,Noun,16,1.2.27
magnificus –a –um,"grand, splendid, magnificent",magnificus,Adjective,2,1.2.28
pompa –ae f.,"procession, parade; the set piece at a banquet",pompa,Noun,8,1.2.28
recens recentis,fresh,recens,Adjective,5,1.2.29
vulnus vulneris n.,wound,vulnus,Noun,6,1.2.29
captivus –a –um,captured,captivus,Adjective,3,1.2.30
vinculum vinculi n.,bond,vinculum,Noun,6,1.2.30
mens mentis f.,mind,mens,Noun,16,1.2.30
bonus –a –um,good,bonus,Adjective,24,1.2.31
post,after (adv. and prep. +acc.),post,Preposition,4,1.2.31
tergum tergi n. or tergus –oris n.,the back of men or animals,tergum,Noun,8,1.2.31
retorqueo –torquere –torsi –tortum,"to twist back, bend back",retorqueo,Verb,1,1.2.31
pudor pudoris m.,decency,pudor,Noun,19,1.2.32
castra castrorum n. (rarely –ae f.),camp,castra,Noun,6,1.2.32
obsum obesse obfui,to be in the way,obsum,Verb,2,1.2.32
omnis omne,every; all,omnis,Adjective,35,1.2.33
metuo metuere metui,"to fear, dread",metuo,Verb,8,1.2.33
brachium brachi(i) n.,arm,brachium,Noun,5,1.2.33
tendo tendere tetendi tentum,to stretch,tendo,Verb,5,1.2.33
vulgus vulgi n.,common people,vulgus,Noun,4,1.2.34
io,hurrah! oh!,io,Interjection,2,1.2.34
vox vocis f.,voice,vox,Noun,14,1.2.34
blanditia –ae f. or blandities –ei,"flattery, endearment, often pl. with sg. meaning",blanditia,Noun,9,1.2.35
comes comitis m. or f.,companion,comes,Noun,11,1.2.35
error erroris m.,"wandering, error",error,Noun,2,1.2.35
furor furoris m.,madness,furor,Noun,4,1.2.35
adsidue,"perpetually, constantly",adsidue,Adverb,1,1.2.36
pars partis f.,"part, portion",pars,Noun,18,1.2.36
sequor sequi secutus sum,"to follow, come next",sequor,Verb,13,1.2.36
miles militis m.,soldier,miles,Noun,15,1.2.37
supero superare superavi superatus,to overcome,supero,Verb,4,1.2.37
homo hominis m.,"human being, man",homo,Noun,4,1.2.37
deus dei m.,god,deus,Noun,33,1.2.37
commodum commodi n.,benefit,commodum,Noun,3,1.2.38
nudus –a –um,"nude, bare",nudus,Adjective,11,1.2.38
laetus –a –um,happy,laetus,Adjective,4,1.2.39
triumpho triumphare triumphavi triumphatus,to triumph,triumpho,Verb,4,1.2.39
de,"down from, about, concerning",de,Preposition,28,1.2.39
superus –a –um,above,superus,Adjective,7,1.2.39
mater matris f.,mother,mater,Noun,19,1.2.39
Olympus –i m.,Olympus,Olympus,Noun,2,1.2.39
plaudo plaudere plausi plausum,"to strike; clap; approve, applaud",plaudo,Verb,5,1.2.40
appono –ponere –posui –positus,to place near; appoint,appono,Verb,7,1.2.40
spargo spargere sparsi sparsum,to scatter,spargo,Verb,4,1.2.40
rosa rosae f.,rose,rosa,Noun,3,1.2.40
pinna –ae f.,"feather, wing",pinna,Noun,8,1.2.41
gemma –ae f.,"jewel, gem",gemma,Noun,6,1.2.41
vario variare variavi variatus,"to vary, diversify; adorn with various colors",vario,Verb,1,1.2.41
capillus capilli m.,hair,capillus,Noun,28,1.2.41
eo ire ii/ivi itum,to go,eo,Verb,46,1.2.42
auro aurare,to gild,auro,Verb,2,1.2.42
aureus (auratus) –a –um,golden,aureus,Adjective,9,1.2.42
rota rotae f.,wheel,rota,Noun,4,1.2.42
tum or tunc,"then, at that time",tum,Adverb,20,1.2.43
quoque,also,quoque,Adverb,44,1.2.43
paucus –a –um,(pl.) a few; (sing.) small,paucus,Adjective,7,1.2.43
nosco noscere novi notus,"to learn, know",nosco,Verb,7,1.2.43
praetereo praeterire praeterivi/praeterii praeteritus,to go by,praetereo,Verb,5,1.2.44
possum posse potui,to be able,possum,Verb,81,1.2.45
licet,even though,licet,Conjunction,6,1.2.45
volo velle volui,to wish,volo,Verb,46,1.2.45
cesso cessare cessavi cessatus,to cease,cesso,Verb,8,1.2.45
fervidus –a –um,"intensely hot, blazing",fervidus,Adjective,1,1.2.46
vicinus –a –um,neighboring,vicinus,Adjective,1,1.2.46
vapor –oris m.,"vapor, steam; heat",vapor,Noun,1,1.2.46
talis tale,such,talis,Pronoun,10,1.2.47
